x_m,y_m,s_m,s_m_orig,d_left,d_right
-1.68,-7.18,22.365106297425612,15.625485,0.8,0.869239
-1.58,-7.23,22.476909696300602,15.737288,0.85,0.904594
-1.48,-7.23,22.576909696300604,15.837288,0.85,0.956231
-1.38,-7.28,22.688713095175594,15.949092,0.905249,0.956231
-1.28,-7.28,22.788713095175595,16.049092,0.920824,1.00119
-1.18,-7.28,22.888713095175596,16.149092,0.946243,1.029352
-1.08,-7.28,22.988713095175598,16.249092,0.980776,1.056797
-0.98,-7.28,23.0887130951756,16.349092,1.023546,1.092366
-0.88,-7.28,23.1887130951756,16.449092,1.068034,1.135327
-0.78,-7.23,23.30051649405059,16.560895,1.068034,1.179837
-0.68,-7.18,23.41231989292558,16.672699,1.068034,1.184909
-0.63,-7.18,23.46231989292558,16.722699,1.091271,1.16758
-0.53,-7.13,23.57412329180057,16.834502,1.101086,1.184909
-0.48,-7.08,23.644833969919226,16.905213,1.090175,1.214911
-0.38,-7.03,23.756637368794216,17.017016,1.117262,1.231601
-0.28,-6.98,23.868440767669206,17.128819,1.152082,1.248075
-0.18,-6.93,23.980244166544196,17.240623,1.187437,1.247112
-0.18,-6.88,24.030244166544197,17.290623,1.152082,1.26244
-0.08,-6.78,24.171665522781506,17.432044,1.152082,1.203994
-0.08,-6.73,24.221665522781507,17.482044,1.116726,1.208968
-0.03,-6.63,24.333468921656497,17.593848,1.083578,1.175765
0.02,-6.53,24.445272320531487,17.705651,1.06018,1.15
0.02,-6.48,24.495272320531488,17.755651,1.031665,1.15
0.07,-6.38,24.607075719406478,17.867454,1.020047,1.1
0.12,-6.28,24.718879118281468,17.979258,1.004751,1.05
0.12,-6.18,24.81887911828147,18.079258,0.956231,1.05
0.17,-6.08,24.93068251715646,18.191061,0.956231,1.0
0.17,-5.98,25.030682517156457,18.291061,0.911769,1.00119
0.17,-5.93,25.080682517156458,18.341061,0.889415,1.004751
0.22,-5.83,25.192485916031448,18.452865,0.889415,0.969804
0.27,-5.73,25.304289314906438,18.564668,0.898683,0.946243
0.27,-5.63,25.40428931490644,18.664668,0.869239,0.95
0.27,-5.53,25.504289314906437,18.764668,0.836002,0.95
0.27,-5.48,25.554289314906438,18.814668,0.823212,0.95
0.32,-5.38,25.666092713781428,18.926471,0.855539,0.9
0.32,-5.28,25.766092713781426,19.026471,0.85,0.9
0.32,-5.18,25.866092713781427,19.126471,0.836002,0.9
0.32,-5.08,25.96609271378143,19.226471,0.813134,0.905249
0.37,-4.98,26.07789611265642,19.338275,0.851388,0.871954
0.37,-4.88,26.17789611265642,19.438275,0.823212,0.898683
0.37,-4.78,26.27789611265642,19.538275,0.788153,0.9
0.42,-4.68,26.38969951153141,19.650078,0.813134,0.855539
0.42,-4.58,26.489699511531413,19.750078,0.801469,0.871954
0.42,-4.48,26.589699511531414,19.850078,0.788153,0.898683
0.47,-4.43,26.66041018965007,19.920789,0.823212,0.855539
0.47,-4.33,26.760410189650067,20.020789,0.805862,0.871954
0.47,-4.23,26.860410189650068,20.120789,0.8,0.898683
0.47,-4.13,26.96041018965007,20.220789,0.8,0.934886
0.52,-4.03,27.07221358852506,20.332592,0.823212,0.851388
0.52,-3.93,27.17221358852506,20.432592,0.805862,0.823212
0.52,-3.83,27.272213588525062,20.532592,0.8,0.805862
0.52,-3.73,27.372213588525064,20.632592,0.774621,0.8
0.52,-3.63,27.472213588525065,20.732592,0.756226,0.8
0.52,-3.53,27.572213588525067,20.832592,0.75,0.774621
0.52,-3.43,27.672213588525068,20.932592,0.740569,0.756226
0.52,-3.33,27.77221358852507,21.032592,0.714853,0.75
0.52,-3.23,27.87221358852507,21.132592,0.701665,0.75
0.52,-3.13,27.972213588525072,21.232592,0.7,0.75
0.52,-3.03,28.072213588525074,21.332592,0.7,0.75
0.52,-2.93,28.172213588525075,21.432592,0.7,0.75
0.52,-2.83,28.272213588525076,21.532592,0.7,0.75
0.52,-2.73,28.372213588525078,21.632592,0.7,0.726209
0.52,-2.63,28.47221358852508,21.732592,0.688241,0.706637
0.52,-2.53,28.57221358852508,21.832592,0.646419,0.7
0.52,-2.48,28.62221358852508,21.882592,0.630074,0.7
0.57,-2.38,28.73401698740007,21.994396,0.646419,0.65
0.57,-2.28,28.834016987400073,22.094396,0.617083,0.65
0.57,-2.18,28.93401698740007,22.194396,0.60192,0.65
0.57,-2.08,29.034016987400072,22.294396,0.6,0.65
0.62,-1.98,29.145820386275062,22.406199,0.630074,0.6
0.62,-1.88,29.245820386275064,22.506199,0.607647,0.6
0.62,-1.78,29.345820386275065,22.606199,0.6,0.6
0.62,-1.68,29.445820386275066,22.706199,0.6,0.6
0.62,-1.58,29.545820386275068,22.806199,0.6,0.6
0.62,-1.48,29.64582038627507,22.906199,0.6,0.6
0.62,-1.38,29.74582038627507,23.006199,0.6,0.6
0.62,-1.28,29.845820386275072,23.106199,0.6,0.60192
0.62,-1.18,29.945820386275074,23.206199,0.6,0.617083
0.62,-1.08,30.045820386275075,23.306199,0.568466,0.646419
0.62,-1.03,30.095820386275076,23.356199,0.558276,0.65
0.67,-0.93,30.207623785150066,23.468002,0.582456,0.6
0.67,-0.83,30.307623785150067,23.568002,0.558276,0.6
0.67,-0.73,30.40762378515007,23.668002,0.55,0.6
0.67,-0.63,30.50762378515007,23.768002,0.55,0.6
0.67,-0.53,30.60762378515007,23.868002,0.55,0.6
0.67,-0.43,30.707623785150073,23.968002,0.55,0.6
0.67,-0.33,30.807623785150074,24.068002,0.55,0.6
0.67,-0.23,30.907623785150076,24.168002,0.55,0.6
0.67,-0.13,31.007623785150077,24.268002,0.55,0.6
0.67,-0.03,31.10762378515008,24.368002,0.55,0.6
0.67,0.07,31.20762378515008,24.468002,0.55,0.6
0.67,0.17,31.30762378515008,24.568002,0.55,0.6
0.67,0.27,31.407623785150083,24.668002,0.55,0.6
